"publication_id","ai_subfield"
"W4362704894","General AI"
"W3041085747","graph neural networks"
"W3047021033","General AI"
"W3115726903","graph neural networks"
"W2979481854","computer vision"
"W2979481854","graph neural networks"
"W2938260698","computer vision"
"W3026717820","General AI"
"W3015487562","General AI"
"W3017157646","General AI"
"W4206973253","General AI"
"W3008071995","General AI"
"W3093695087","graph neural networks"
"W3176349206","graph neural networks"
"W3154257404","General AI"
"W2994958466","computer vision"
"W2954936648","General AI"
"W2963568316","computer vision"
"W2963568316","generative ai"
"W2914274640","General AI"
"W2962965968","graph neural networks"
"W3169534597","generative ai"
"W3169534597","graph neural networks"
