"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5008262194","Ahmedbahaaaldin Ibrahem Ahmed Osman","","4","653","4","I79156528","MY","4","False","True"
"A5101758654","Jinyin Chen","0000-0002-7153-2755","26","2599","278","I55712492","CN","30","False","True"
"A5004210416","Suhad Al-Shoukry","0000-0001-6314-9361","3","241","7","I102913810","MY","10","False","True"
"A5057578694","Fahid Aslam","0000-0003-2863-3283","51","7625","132","I142608572","SA","13","True","True"
"A5051514360","Sella Nevo","0000-0002-4743-3634","12","801","46","I1291425158","US","5","False","True"
"A5091816840","Guangqing Shao","","2","190","2","I204983213","CN","1","False","True"
"A5101957793","Weiwei Li","0000-0003-2157-9261","18","1030","73","I110440473","CN","20","False","True"
"A5040373406","Shintaro Sukegawa","0000-0001-7986-2735","26","2242","150","I201933988","JP","18","False","True"
"A5038065195","Haohuai He","0000-0003-3831-3996","8","335","22","I14243506","HK","12","False","True"
"A5085078000","Philip Brey","0000-0002-4789-4588","26","3102","135","","","29","False","False"
"A5090158293","Ramin Hasibi","0000-0002-6175-8195","5","203","15","I4432739","NO","8","False","True"
"A5108766051","Pratik Patil","","8","227","28","","","11","False","False"
"A5020870582","Salah S. Al‐Zaiti","0000-0002-6862-0658","21","2163","237","I114027177","US","17","True","True"
"A3121254158","Dominic A. Neu","","2","244","2","","","1","False","False"
"A5064378234","Ji Young Lee","0000-0003-1181-8070","20","1605","124","I4210160144","KR","25","False","True"
"A5101640344","Kai Zhou","0000-0001-9859-1758","28","2502","346","I126520041","CN","39","False","True"
"A5090421249","Akira Sakai","0000-0003-3951-1089","27","2798","260","","","71","False","False"
"A5063958136","Ivan Cvitić","0000-0003-3728-6711","18","1326","98","I181343428","HR","13","False","True"
"A5015260108","Yutao Jiao","0000-0001-8794-6330","16","3415","80","I4210163363","CN","12","False","True"
"A5054064600","Ali Raza","0000-0002-0885-4620","2","159","2","I16076960","PK","4","False","True"
"A5042582581","Bachir Jdid","0000-0003-1805-8545","2","179","2","I55285296","MY","1","False","True"
"A5101572925","Yi Zeng","0000-0002-6901-9194","9","4738","38","I125839683","CN","23","False","True"
"A5067592402","Moziihrii Ado","0000-0002-1154-5124","3","154","7","I197465736","IN","5","False","True"
"A5077208746","Alex Mathai","","3","60","11","","","16","False","False"
"A5102935340","K. Shankar","0000-0002-2803-3846","59","10605","325","I85461943","IN","32","True","True"
"A5044683684","Nesma M. Rezk","0000-0002-4674-3809","3","127","13","I746986","SE","9","False","True"
"A5008457688","Albara Awajan","0000-0002-8665-1191","9","925","30","I33926330","JO","18","False","True"
"A5020367679","Thomas W. Sanchez","0000-0002-8259-0088","33","3440","230","I19894307","FR","51","False","True"
"A5036959077","Hyun Jin Yoon","0000-0003-3135-033X","13","542","71","I51226738","KR","33","False","True"
"A5100326592","Yuan Zhang","0000-0003-2726-2855","29","3820","289","I142108993","CN","33","False","True"
"A5076595303","Oliver Atkinson","0000-0001-8382-9559","7","137","15","I7882870","GB","5","False","True"
"A2036346442","Bo Liu","0000-0001-5002-0243","21","1471","606","","","1","True","False"
"A5029822464","Junwei Sun","0000-0001-8518-5064","38","5633","383","I108688024","CN","22","True","True"
"A5077105480","Simon Vandenhende","","12","1592","23","","","5","False","False"
"A5036307171","Qi Teng","0000-0003-3573-4146","10","788","23","I1297460800","CA","25","False","True"
"A5080666751","Md Taimur Ahad","0000-0001-7657-2185","7","311","55","","","14","False","False"
"A5076944135","Tahmina Zebin","0000-0003-0437-0570","13","902","28","I59433898","GB","15","False","True"
"A2138203349","Dan Popescu","0000-0001-7164-9155","1","83","15","","","1","True","False"
"A5100458718","Ying Xie","0000-0003-3223-1797","51","10767","456","I114539943","CN","30","True","True"
"A5047175752","Joy Qiaoyi Li","0000-0001-6848-7394","3","133","5","I170897317","US","3","False","True"
"A5042642081","Alberto Marchisio","0000-0002-0689-4776","15","973","110","I120250893","AE","8","True","True"
"A5100321843","Sijia Liu","0000-0003-2817-6991","33","4188","329","I102345215","CN","18","True","True"
"A5100674176","Yaohua Liu","0000-0003-4485-1918","5","138","19","I19820366","CN","21","False","True"
"A5045023838","Hongbin Xia","0000-0003-4314-5878","8","148","39","I111599522","CN","24","False","True"
"A5087435409","Shengxi Gui","0000-0001-8932-0577","5","260","11","I52357470","US","5","False","True"
"A5030697993","Wooje Lee","0000-0002-6238-2898","13","714","33","","","19","False","False"
"A5100680951","Jiliang Zhang","0000-0001-8712-2964","21","1842","122","I16609230","CN","29","False","True"
"A5054934801","Mumtaz Ahmad","0000-0002-2404-7001","1","51","1","I51783024","DE","1","False","True"
"A5065810383","Muhammad Pervez Akhter","0000-0002-4933-8905","12","634","20","I17120543","PK","11","False","True"
"A5018980806","Sulaiman Khan","0000-0003-2562-3477","23","1459","89","I181063083","PK","13","False","True"
"A5069972503","Hongmei Li","0000-0003-3829-4465","28","3056","358","I16365422","CN","31","True","True"
"A5074626162","Guangsu Zhou","0000-0002-3026-4643","12","463","32","","","41","False","False"
"A5066939022","Woongsup Lee","0000-0002-9431-7804","25","2804","134","I193775966","KR","25","False","True"
"A5054469496","Yipin Lei","","6","673","15","I99065089","CN","5","False","True"
"A5089152522","Noe M. Yungaicela-Naula","0000-0002-3131-0672","9","429","21","I126231945","GB","10","False","True"
"A5101582158","Shivani Singh","0000-0001-5784-4202","2","101","6","I74885063","IN","10","False","True"
"A5054449710","Gabriel de Souza Pereira Moreira","0000-0002-9745-5014","9","540","45","","","16","False","False"
"A5084839157","Addis Fuhr","0000-0002-8819-8255","12","1057","28","I1289243028","US","14","False","True"
"A5035508199","Stephanie Baker","0000-0003-0467-7791","16","1904","41","I86467917","AU","68","False","True"
"A5101528192","Chenxing Wang","0000-0003-4565-5759","4","212","9","I92403157","CN","8","False","True"
"A5040096854","Qi Chang","0000-0001-9546-1827","39","5126","175","I1285764155","US","33","False","True"
"A5102013451","Kirandeep Kaur","","9","327","57","","","21","False","False"
"A5014332568","Imane Lasri","0000-0002-1481-094X","5","216","15","","","7","False","False"
"A5057118518","Tushar Nayak","0000-0002-4328-7983","4","124","10","","","2","False","False"
"A5030927546","Yuchao Zhu","0000-0002-0277-200X","14","1432","37","I19820366","CN","30","False","True"
"A5079546302","Jingcheng Du","0000-0002-0322-4566","25","2630","100","I4210131568","US","12","False","True"
"A5054077896","Candyce Hamel","0000-0002-5871-2137","29","18894","106","I153718931","CA","28","False","True"
"A5086465022","Dimitris Drikakis","0000-0002-3300-7669","57","10069","488","I17389662","CY","56","False","True"
"A5076863392","Yuanwei Liu","0000-0002-6389-8941","89","33241","1187","I1456306","CN","27","True","True"
"A5063344287","Hugo Boulze","0000-0001-9935-3145","3","188","18","","","7","False","False"
"A5006350897","Hongdou Yao","0000-0002-6297-7138","6","204","11","I170215575","CN","7","False","True"
"A5072472657","Pakarat Musikawan","0000-0001-5315-751X","8","185","18","","","10","False","False"
"A5100355482","Yong Li","0000-0003-3057-8578","20","1545","75","","","24","False","False"
"A5081872852","Massimiliano Greco","0000-0003-1003-4637","41","21515","192","I1339471597","IT","70","False","True"
